CustomerID,Όνομα,Email,Πόλη,Περιοχή,Ημερομηνία_Εγγραφής,Τύπος_Πελάτη,Πιστωτικό_Όριο,Ενεργός,Τηλέφωνο
CUST00001,Πελάτης_1,πελάτης1@email.gr,Θεσσαλονίκη,Κεντρική Μακεδονία,2022-01-26,Πλατινένιος,1602.01,True,692719583
CUST00002,Πελάτης_2,πελάτης2@email.gr,Θεσσαλονίκη,Κεντρική Μακεδονία,2023-08-28,Νέος,643.02,True,694668136
CUST00003,Πελάτης_3,πελάτης3@email.gr,Ηράκλειο,Κρήτη,2023-06-02,Κανονικός,3025.6,False,694698379
CUST00004,Πελάτης_4,πελάτης4@email.gr,Χανιά,Κρήτη,2023-08-27,Πλατινένιος,4142.44,True,693678638
CUST00005,Πελάτης_5,πελάτης5@email.gr,Ιωάννινα,Ήπειρος,2022-12-15,Πλατινένιος,1199.66,False,692714803
CUST00006,Πελάτης_6,πελάτης6@email.gr,Θεσσαλονίκη,Κεντρική Μακεδονία,2023-01-25,Κανονικός,2115.41,False,695437923
CUST00007,Πελάτης_7,πελάτης7@email.gr,Αθήνα,Αττική,2023-04-16,Κανονικός,4879.02,False,692322047
CUST00008,Πελάτης_8,πελάτης8@email.gr,Λάρισα,Θεσσαλία,2023-10-06,Πλατινένιος,3098.08,True,691768805
CUST00009,Πελάτης_9,πελάτης9@email.gr,Ηράκλειο,Κρήτη,2022-10-24,Κανονικός,4348.93,True,697377459
CUST00010,Πελάτης_10,πελάτης10@email.gr,Λάρισα,Θεσσαλία,2023-04-10,Πλατινένιος,1231.94,False,694514944
CUST00011,Πελάτης_11,πελάτης11@email.gr,Λάρισα,Θεσσαλία,2023-12-20,Κανονικός,3241.09,True,699961380
CUST00012,Πελάτης_12,πελάτης12@email.gr,Ηράκλειο,Κρήτη,2022-06-17,Νέος,2207.55,True,696440561
CUST00013,Πελάτης_13,πελάτης13@email.gr,Αθήνα,Αττική,2022-08-23,Κανονικός,4122.71,False,695491946
